OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
2081,122300,Royal Heights South,Royal Heights South,3405,3777,3750,10.9,-0.7,1.13131545,1.13131545,1131205.797,5549.875167
2082,122200,Campbells Bay,Campbells Bay,2835,2889,2847,1.9,-1.5,1.7434153,1.7434153,1743249.43,5829.726249
2083,122101,Bayview South (Auckland),Bayview South (Auckland),2898,3063,2931,5.7,-4.3,0.93362104,0.93362104,933677.7539,6040.261121
2084,122001,Swanson,Swanson,1653,2241,3696,35.6,64.9,2.09351046,2.09351046,2093404.077,11412.41519
2085,121901,Totara Vale South,Totara Vale South,3267,3552,3471,8.7,-2.3,0.82482048,0.82482048,824839.0586,5187.032271
2086,121800,Beach Haven West,Beach Haven West,3294,3417,3429,3.7,0.4,1.20747163,1.20747163,1207237.572,6341.230231
2087,121701,Massey West,Massey West,1896,2334,2814,23.1,20.6,1.40381382,1.40381382,1403756.959,8373.4571
2088,121600,Royal Heights North,Royal Heights North,3363,3501,4116,4.1,17.6,1.49490895,1.49490895,1494906.472,6735.074183
2089,121500,Totara Vale North,Totara Vale North,2937,3174,2964,8.1,-6.6,0.86577248,0.86577248,865776.3418,4153.525047
2090,121401,Bayview West (Auckland),Bayview West (Auckland),2280,2376,2364,4.2,-0.5,0.73396895,0.73396895,733952.0508,3779.411106
2091,121300,Sunnynook North,Sunnynook North,2673,2865,2901,7.2,1.3,0.744465,0.744465,744536.9531,3924.546413
2092,121200,Sunnynook South,Sunnynook South,2448,2673,2631,9.2,-1.6,0.80160094,0.80160094,801429.0684,4179.817217
2093,121100,Swanson Rural,Swanson Rural,2130,2355,2289,10.6,-2.8,15.14615684,15.14615684,15146129.63,22552.42329
2094,121001,Bayview East (Auckland),Bayview East (Auckland),3228,3618,3732,12.1,3.2,1.37433148,1.37433148,1374074.638,6063.666812
2095,120900,Massey Royal Road West,Massey Royal Road West,2853,3021,3108,5.9,2.9,0.89641574,0.89641574,896544.1934,4351.704555
2096,120800,Mairangi Bay South,Mairangi Bay South,2646,2745,2877,3.7,4.8,0.80107653,0.80107653,801198.1367,4812.288346
2097,120701,West Harbour Luckens Point,West Harbour Luckens Point,3396,3498,3378,3,-3.4,1.24071248,1.24071248,1240601.846,5449.744533
2098,120600,Massey Central,Massey Central,2985,3363,3222,12.7,-4.2,0.88378264,0.88378264,883749.8506,5213.991464
2099,120500,Mairangi Bay North,Mairangi Bay North,2700,2901,2955,7.4,1.9,0.92451937,0.92451937,924444.9229,4958.272746
2100,120400,Unsworth Heights East,Unsworth Heights East,3186,3567,3714,12,4.1,1.10831886,1.10831886,1108243.633,4975.461362
2101,120301,West Harbour Clearwater Cove,West Harbour Clearwater Cove,3345,3543,3561,5.9,0.5,1.10032162,1.10032162,1100175.72,7911.252617
2102,120203,Hobsonville Scott Point,Hobsonville Scott Point,102,123,3156,20.6,2465.9,1.38041946,1.38041946,1380590.066,6332.560539
