OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
1,364000,Motunau Island,Motunau Island,0,0,0,-998,-998,0.0814742,0.0814742,81511.57275,1427.156234
2,363301,Bluff,Bluff,1803,1797,1797,-0.3,0,10.13694889,10.13694889,10136839.52,25020.88984
3,363100,Woodend-Greenhills,Woodend-Greenhills,603,597,624,-1,4.5,173.6007658,173.6007658,173602462.8,166674.3521
4,363001,Clifton-Kew,Clifton-Kew,1755,1767,1863,0.7,5.4,3.77083153,3.77083153,3770612.488,11890.25338
5,362901,Kingswell,Kingswell,2085,2232,2280,7.1,2.2,1.9519156,1.9519156,1951802.813,5863.296821
6,362601,Heidelberg,Heidelberg,2055,2127,2205,3.5,3.7,1.30896833,1.30896833,1308996.44,5367.87018
7,362501,Strathern,Strathern,3798,3903,3912,2.8,0.2,1.76597488,1.76597488,1765842.827,5941.449378
8,362402,Rockdale,Rockdale,750,849,981,13.2,15.5,1.62676813,1.62676813,1626923.472,9043.712294
9,362401,Newfield,Newfield,2130,2127,2301,-0.1,8.2,1.42905134,1.42905134,1429008.537,6110.576675
10,362301,Kennington-Tisbury,Kennington-Tisbury,1278,1332,1419,4.2,6.5,36.24876521,36.24876521,36247676.62,41576.84287
11,362201,Appleby South (Invercargill City),Appleby South (Invercargill City),1608,1695,1671,5.4,-1.4,1.12435868,1.12435868,1124293.771,6714.596318
12,362100,Georgetown,Georgetown,1935,2040,2106,5.4,3.2,1.12355979,1.12355979,1123708.599,4591.618434
13,362001,Appleby North (Invercargill City),Appleby North (Invercargill City),1584,1734,1839,9.5,6.1,0.82389206,0.82389206,823884.4717,3933.352849
14,361900,Turnbull Thompson Park,Turnbull Thompson Park,1731,1764,1722,1.9,-2.4,1.48987636,1.48987636,1489956.659,7666.280468
15,361701,Glengarry,Glengarry,3033,3345,3420,10.3,2.2,2.32843863,2.32843863,2328421.732,6809.345079
16,361601,Richmond (Invercargill City),Richmond (Invercargill City),2661,2769,2754,4.1,-0.5,1.00633314,1.00633314,1006346.249,3997.332688
17,361502,Waverley (Invercargill City),Waverley (Invercargill City),1677,1779,1839,6.1,3.4,0.97966421,0.97966421,979587.2705,4941.244805
18,361501,Windsor,Windsor,3102,3243,3291,4.5,1.5,1.4273154,1.4273154,1427351.361,5454.236944
19,361300,Avenal,Avenal,1131,1263,1191,11.7,-5.7,1.42773302,1.42773302,1427795.437,5326.010603
20,361201,Rosedale-Hargest,Rosedale-Hargest,1998,2007,2043,0.5,1.8,1.31566525,1.31566525,1315661.039,5096.359318
21,361100,Gladstone (Invercargill City),Gladstone (Invercargill City),2385,2376,2385,-0.4,0.4,1.26945821,1.26945821,1269424.85,5366.924897
22,361000,Invercargill Central,Invercargill Central,1125,1365,1278,21.3,-6.4,9.18243087,9.18243087,9182493.654,19256.71652
23,360900,Otatara,Otatara,3036,3144,3432,3.6,9.2,19.95162879,19.95162879,19950733.08,22163.26644
24,360801,Myross Bush,Myross Bush,969,1029,1044,6.2,1.5,19.11275064,19.11275064,19112510.7,27401.64178
25,360701,Waikiwi,Waikiwi,3147,3333,3528,5.9,5.9,5.29693546,5.29693546,5296565.045,14083.86366
26,360601,Prestonville-Grasmere,Prestonville-Grasmere,2805,2979,2949,6.2,-1,2.35138429,2.35138429,2351685.711,7793.081806
27,360500,West Plains-Makarewa,West Plains-Makarewa,1509,1608,1725,6.6,7.3,87.86625161,87.86625161,87868432.73,78319.92495
28,360400,Mataura,Mataura,1509,1629,1650,8,1.3,5.3226597,5.3226597,5322817.556,16466.12457
29,360300,Gore South,Gore South,597,627,627,5,0,3.54367129,3.54367129,3543683.471,12198.3194
30,360200,Gore Main,Gore Main,1200,1251,1230,4.2,-1.7,0.60847302,0.60847302,608554.5073,4001.148078
31,360100,Gore Central,Gore Central,195,180,216,-7.7,20,1.02899157,1.02899157,1029060.703,5900.586766
32,360000,East Gore,East Gore,1440,1443,1485,0.2,2.9,3.69853607,3.69853607,3697851.714,13096.15812
33,359900,Gore West,Gore West,2703,2697,2835,-0.2,5.1,3.15463963,3.15463963,3154805.3,7533.353686
34,359800,Gore North,Gore North,1557,1713,1785,10,4.2,1.72781471,1.72781471,1727635.083,7287.473494
35,359700,Waimumu-Kaiwera,Waimumu-Kaiwera,1278,1302,1344,1.9,3.2,648.0161797,648.0161797,648015921.2,204678.7036
36,359600,Waikaka,Waikaka,1554,1560,1536,0.4,-1.5,586.7473866,586.7473866,586748646.8,165080.714
37,359500,Wyndham-Catlins,Wyndham-Catlins,2178,2196,2214,0.8,0.8,1381.834151,1381.834151,1381835781,253184.2498
38,359400,Awarua Plains,Awarua Plains,1026,1020,987,-0.6,-3.2,409.0950015,409.0950015,409095317.1,124147.4739
39,359300,Stewart Island,Stewart Island,378,408,486,7.9,19.1,1747.723162,1747.723162,1747716687,1057358.462
40,359100,Edendale-Woodlands,Edendale-Woodlands,2193,2262,2313,3.1,2.3,385.3964109,385.3964109,385395708.2,102182.6188
41,359000,Grove Bush,Grove Bush,1065,1158,1251,8.7,8,145.5571499,145.5571499,145556311.8,72623.91968
42,358900,Wallacetown,Wallacetown,1158,1173,1182,1.3,0.8,89.78588624,89.78588624,89785415.08,45894.30637
43,358801,Riverton,Riverton,1470,1620,1710,10.2,5.6,8.74449421,8.74449421,8744335.729,22303.00262
44,358700,Waianiwa,Waianiwa,1155,1170,1182,1.3,1,228.6520012,228.6520012,228653956.7,79395.96748
45,358600,Winton,Winton,2220,2337,2475,5.3,5.9,3.07718767,3.07718767,3076979.503,10101.03179
46,358500,Hedgehope,Hedgehope,1110,1179,1131,6.2,-4.1,729.2570238,729.2570238,729254727.3,158450.7032
47,358400,Ōtautau,Otautau,2793,2808,2841,0.5,1.2,703.2478367,703.2478367,703251892.9,155046.7569
48,358300,Oreti River,Oreti River,2169,2100,2151,-3.2,2.4,629.8935546,629.8935546,629893119.3,148914.2103
49,358200,Lumsden-Balfour,Lumsden-Balfour,1266,1320,1314,4.3,-0.5,767.6213438,767.6213438,767622355.5,171089.5211
50,358100,Riversdale-Piano Flat,Riversdale-Piano Flat,1341,1374,1407,2.5,2.4,1578.744811,1578.744811,1578747063,297339.4884
51,358000,Ōhai-Nightcaps,Ohai-Nightcaps,1500,1482,1509,-1.2,1.8,948.7989189,948.7989189,948798045,174165.1965
52,357900,Longwood Forest,Longwood Forest,1995,1995,2073,0,3.9,2230.64826,2198.542961,2230646837,333341.5828
53,357800,Inland water Lake Hauroko,Inland water Lake Hauroko,0,0,0,-998,-998,71.10793818,0,71107700.54,105396.8633
54,357700,Mossburn,Mossburn,1197,1209,1233,1,2,2740.571082,2740.571082,2740567345,297577.9139
55,357601,Whitestone,Whitestone,516,582,624,12.8,7.2,89.94084754,89.94084754,89941880.93,60019.5902
56,357501,Te Ānau,Te Anau,2025,2574,2751,27.1,6.9,6.65703994,6.63730518,6656792.396,12967.74352
57,357400,Inland water Lake Manapouri,Inland water Lake Manapouri,0,0,0,-998,-998,138.8476546,0,138848130.8,183895.6281
58,357300,Mararoa,Mararoa,714,774,864,8.4,11.6,2727.732102,2717.387502,2727731880,373099.3152
59,357200,Inland water Lake Te Ānau,Inland water Lake Te Anau,0,0,0,-998,-998,344.4028294,0,344403141.6,361810.7658
60,357000,Fiordland,Fiordland,126,111,132,-11.9,18.9,12119.15359,12064.68027,12119148555,2906707.786
61,356800,Kaitangata-Matau,Kaitangata-Matau,1104,1092,1161,-1.1,6.3,163.6795774,163.6795774,163681344.3,86725.0174
62,356700,Benhar-Stirling,Benhar-Stirling,462,471,447,1.9,-5.1,9.46254894,9.46254894,9462265.547,14845.30638
63,356600,Balclutha North,Balclutha North,1539,1587,1734,3.1,9.3,3.06680271,3.06680271,3066544.368,8312.017082
64,356500,Balclutha South,Balclutha South,2448,2523,2610,3.1,3.4,4.48056256,4.48056256,4480377.345,10644.1991
65,356400,Milton,Milton,2070,2157,2121,4.2,-1.7,4.16430251,4.16430251,4163957.895,13867.10667
66,356300,Catlins,Catlins,1254,1305,1422,4.1,9,1072.983943,1072.983943,1072982660,264277.1319
67,356200,Bruce,Bruce,2043,2250,2520,10.1,12,886.0014874,879.7335562,886000908.4,169671.9228
68,356100,Clutha Valley,Clutha Valley,1524,1608,1614,5.5,0.4,747.3521513,747.3521513,747353587,184743.0001
69,356000,Clinton,Clinton,1200,1230,1200,2.5,-2.4,839.7002634,839.7002634,839699791.6,213066.672
70,355900,Tuapeka,Tuapeka,1077,1155,1239,7.2,7.3,1256.720827,1235.192822,1256718297,248785.2072
71,355800,West Otago,West Otago,2169,2289,2244,5.5,-2,1374.719047,1374.719047,1374718497,282662.7348
72,355700,Tainui,Tainui,1983,1980,2049,-0.2,3.5,1.98881613,1.98881613,1988845.266,9281.916669
73,355600,Andersons Bay,Andersons Bay,2340,2379,2385,1.7,0.3,1.2576674,1.2576674,1257653.671,6205.56495
74,355500,St Kilda North,St Kilda North,2469,2538,2550,2.8,0.5,1.05778072,1.05778072,1057864.276,4757.794754
75,355400,Shiel Hill,Shiel Hill,1599,1701,1788,6.4,5.1,1.37221017,1.37221017,1372046.687,5626.482895
76,355300,Musselburgh,Musselburgh,1569,1515,1524,-3.4,0.6,0.5752526,0.5752526,575082.9814,3763.481922
77,355200,St Kilda South,St Kilda South,2829,2964,2832,4.8,-4.5,1.13620035,1.13620035,1136271.81,5076.258364
78,355100,Broad Bay-Portobello,Broad Bay-Portobello,1074,1155,1200,7.5,3.9,3.59699197,3.59699197,3596848.615,19153.03189
79,355000,Macandrew Bay-Company Bay,Macandrew Bay-Company Bay,1518,1572,1548,3.6,-1.5,2.57722572,2.57722572,2577121.384,16618.35822
80,354901,Waverley (Dunedin City),Waverley (Dunedin City),2574,2646,2691,2.8,1.7,2.14681388,2.14681388,2146362.233,10884.36767
81,354800,St Clair,St Clair,2346,2346,2346,0,0,2.02825365,2.02825365,2028351.244,9409.693744
82,354701,South Dunedin,South Dunedin,2310,2439,2517,5.6,3.2,0.53137447,0.53137447,531366.459,4492.821308
83,354600,Forbury,Forbury,1293,1326,1260,2.6,-5,0.55507378,0.55507378,555067.6182,3257.267981
84,354500,Corstorphine,Corstorphine,1770,1884,2043,6.4,8.4,0.87151786,0.87151786,871513.8882,4924.152404
85,354400,Kew (Dunedin City),Kew (Dunedin City),1740,1734,1758,-0.3,1.4,0.69769517,0.69769517,697699.3408,4044.430709
86,354300,Hillside-Portsmouth Drive,Hillside-Portsmouth Drive,75,99,78,32,-21.2,1.3569457,1.3569457,1357250.997,7870.017128
87,354200,Caversham,Caversham,2181,2265,2292,3.9,1.2,0.71207005,0.71207005,712158.7666,4173.798553
88,354100,Calton Hill,Calton Hill,1434,1482,1479,3.3,-0.2,0.66409249,0.66409249,664026.3096,3545.67816
89,354000,Concord,Concord,1464,1512,1488,3.3,-1.6,1.16326899,1.16326899,1163290.691,5294.398498
90,353900,Otago Peninsula,Otago Peninsula,780,852,870,9.2,2.1,84.95571035,84.95571035,84956115.45,100284.6071
91,353800,Fernhill,Fernhill,1398,1608,1653,15,2.8,0.79442954,0.79442954,794405.4443,4483.50346
92,353701,Harbourside,Harbourside,51,45,54,-11.8,20,2.70547717,2.70547717,2705597.944,17063.58371
93,353600,Ravensbourne-St Leonards,Ravensbourne-St Leonards,1896,1878,1953,-0.9,4,4.9092648,4.9092648,4909059.974,12533.20972
94,353500,Maryhill,Maryhill,2127,2277,2238,7.1,-1.7,1.23510048,1.23510048,1235048.105,5671.103965
95,353400,Dunedin Central,Dunedin Central,1914,1962,2178,2.5,11,1.30707461,1.30707461,1307147.588,6451.30398
96,353300,Mornington,Mornington,2703,2802,2799,3.7,-0.1,1.08749583,1.08749583,1087458.922,5907.213629
97,353200,Campus South,Campus South,2046,2031,2100,-0.7,3.4,0.46993429,0.46993429,469954.793,2964.056691
98,353100,Campus North,Campus North,2616,2535,2484,-3.1,-2,0.60684886,0.60684886,606822.3438,3698.400715
99,353000,Opoho,Opoho,1200,1218,1212,1.5,-0.5,2.35872478,2.35872478,2358855.827,9738.866953
100,352900,Arthur Street,Arthur Street,1353,1494,1539,10.4,3,0.71698602,0.71698602,716930.021,4292.227268
101,352800,Royal Terrace,Royal Terrace,1605,1719,1755,7.1,2.1,0.27648349,0.27648349,276507.1064,2871.819675
102,352701,Port Chalmers,Port Chalmers,1419,1407,1389,-0.8,-1.3,3.23756653,3.23756653,3237425.763,16422.20571
103,352600,Green Island,Green Island,2235,2319,2376,3.8,2.5,3.64480459,3.64480459,3645099.679,11224.66289
104,352500,Waldronville,Waldronville,1128,1299,1359,15.2,4.6,9.53820533,9.53820533,9537535.374,20758.1788
105,352400,Campus West,Campus West,1686,1728,1794,2.5,3.8,0.32165943,0.32165943,321663.729,2748.879106
106,352300,Kenmure,Kenmure,1878,1944,1944,3.5,0,1.10013816,1.10013816,1100003.897,5820.341597
107,352200,Gardens (Dunedin City),Gardens (Dunedin City),3300,3741,3909,13.4,4.5,1.51115016,1.51115016,1511217.691,6127.948595
108,352100,Belleknowes,Belleknowes,2229,2220,2208,-0.4,-0.5,1.12718683,1.12718683,1127174.765,5533.086272
109,352000,North East Valley Knox,North East Valley Knox,2388,2523,2439,5.7,-3.3,0.66826179,0.66826179,668147.3555,3459.349817
110,351901,Normanby (Dunedin City),Normanby (Dunedin City),1392,1425,1422,2.4,-0.2,1.41871037,1.41871037,1418775.792,7552.521688
111,351801,Roseneath-Sawyers Bay,Roseneath-Sawyers Bay,1317,1449,1509,10,4.1,4.79179755,4.79179755,4791393.887,15567.93558
112,351700,North East Valley Chingford,North East Valley Chingford,1578,1653,1617,4.8,-2.2,1.08266993,1.08266993,1082804.039,4618.58542
113,351600,Roslyn (Dunedin City),Roslyn (Dunedin City),3060,3048,2994,-0.4,-1.8,1.29448954,1.29448954,1294629.846,6346.699082
114,351500,Maori Hill,Maori Hill,2367,2448,2373,3.4,-3.1,1.01060581,1.01060581,1010750.679,5654.232196
115,351400,Kaikorai-Bradford,Kaikorai-Bradford,1176,1182,1176,0.5,-0.5,3.43862124,3.43862124,3438871.07,14614.32185
116,351300,Pine Hill-Dalmore,Pine Hill-Dalmore,2226,2289,2271,2.8,-0.8,1.17720242,1.17720242,1177148.674,5857.696637
117,351200,Brighton,Brighton,1446,1473,1443,1.9,-2,3.3981893,3.3981893,3398278.519,18173.72269
118,351100,Abbotsford,Abbotsford,2496,2817,2916,12.9,3.5,2.36456966,2.36456966,2364651.736,9567.626505
119,351000,Wakari,Wakari,3822,4098,4131,7.2,0.8,2.20640515,2.20640515,2206148.85,6664.22582
120,350900,Brockville,Brockville,2295,2409,2385,5,-1,1.47123183,1.47123183,1471324.546,5563.362357
121,350700,Fairfield (Dunedin City),Fairfield (Dunedin City),2415,2511,2550,4,1.6,3.95624004,3.95624004,3956084.847,13050.78772
122,350600,Glenleith,Glenleith,1113,1239,1332,11.3,7.5,2.12327059,2.12327059,2123327.402,8863.85602
123,350500,Helensburgh,Helensburgh,1173,1188,1152,1.3,-3,1.46191187,1.46191187,1462070.787,6261.600005
124,350401,Halfway Bush,Halfway Bush,1743,1830,1857,5,1.5,1.45810864,1.45810864,1457795.502,5910.501339
125,350300,East Taieri,East Taieri,1935,2181,2451,12.7,12.4,3.12611642,3.12611642,3126283.44,11493.95531
126,350201,Saddle Hill-Chain Hills,Saddle Hill-Chain Hills,1191,1224,1302,2.8,6.4,47.61261696,47.61261696,47612418.28,58944.53329
127,350100,Wingatui,Wingatui,765,897,924,17.3,3,6.84273075,6.84273075,6842960.52,12598.19732
128,350000,Seddon Park,Seddon Park,2631,2868,3036,9,5.9,1.55941722,1.55941722,1559266.979,6606.681525
129,349900,Mosgiel Central,Mosgiel Central,2601,2607,2682,0.2,2.9,1.23774754,1.23774754,1237650.242,6081.197486
130,349801,Mosgiel East,Mosgiel East,2013,2745,3123,36.4,13.8,3.6357763,3.6357763,3635856.723,10627.85347
131,349700,Bush Road,Bush Road,2343,2358,2373,0.6,0.6,0.87644249,0.87644249,876670.7104,4079.203057
132,349601,Mount Cargill,Mount Cargill,1776,2016,2136,13.5,6,129.7765712,129.7765712,129775788.1,92839.52581
133,349401,Taieri,Taieri,1383,1485,1575,7.4,6.1,150.0451681,150.0451681,150044211.7,80188.95888
134,349300,Momona,Momona,2205,2322,2514,5.3,8.3,217.6062278,217.6062278,217605169.4,96973.83589
135,349200,Waikouaiti,Waikouaiti,1122,1194,1260,6.4,5.5,7.32830263,7.32830263,7327770.968,19230.58714
136,349100,Bucklands Crossing,Bucklands Crossing,1425,1482,1638,4,10.5,421.9562942,421.9562942,421956907.8,135184.7412
137,349000,Strath Taieri,Strath Taieri,714,666,669,-6.7,0.5,2115.022747,2115.022747,2115025495,315638.2913
138,348901,Jacks Point,Jacks Point,267,999,3555,274.2,255.9,21.0071097,21.0071097,21008071.01,28520.38654
139,348801,Lake Hayes Estate,Lake Hayes Estate,1623,2199,2586,35.5,17.6,2.74068132,2.74068132,2740652.263,8437.46692
140,348700,Shotover Country,Shotover Country,42,2187,3837,5107.1,75.4,3.03933153,3.03933153,3039231.342,7795.869746
141,348600,Kelvin Heights,Kelvin Heights,1011,1170,1185,15.7,1.3,9.27570754,9.27570754,9276078.747,16529.2783
142,348500,Lake Hayes,Lake Hayes,318,354,372,11.3,5.1,8.76219721,5.92287433,8763116.792,16245.40523
143,348400,Frankton,Frankton,2307,2895,3498,25.5,20.8,7.56077087,7.56077087,7560718.695,15873.22242
144,348300,Frankton Arm,Frankton Arm,1569,1917,1845,22.2,-3.8,1.22516729,1.22516729,1225338.717,7126.179779
145,348200,Queenstown East,Queenstown East,1362,1416,1122,4,-20.8,0.9758133,0.9758133,975836.314,6205.055792
146,348100,Queenstown Central,Queenstown Central,1053,1017,807,-3.4,-20.6,0.80516805,0.80516805,805105.0151,6483.409416
147,348000,Quail Rise,Quail Rise,543,708,747,30.4,5.5,6.26898213,6.26898213,6268514.602,14197.39135
148,347901,Arrowtown,Arrowtown,2469,2853,2838,15.6,-0.5,3.60587933,3.60587933,3606485.792,11661.35784
149,347801,Sunshine Bay-Fernhill,Sunshine Bay-Fernhill,2598,3225,3153,24.1,-2.2,13.21846868,13.21846868,13218689.6,34652.11613
150,347700,Warren Park,Warren Park,1131,1485,1356,31.3,-8.7,0.93646231,0.93646231,936489.6938,6542.132023
151,347600,Queenstown Hill,Queenstown Hill,3,6,3,100,-50,15.37707871,15.37707871,15377356.62,21278.78708
152,347501,Wakatipu Basin,Wakatipu Basin,1113,1260,1431,13.2,13.6,57.7241974,57.7241974,57723194.04,62470.8298
153,347401,Arthurs Point,Arthurs Point,807,1128,1353,39.8,19.9,4.17779919,4.17779919,4177648.358,15370.58047
154,347300,Kingston,Kingston,237,348,429,46.8,23.3,1012.535943,1012.535943,1012536488,231740.9776
155,347201,Upper Clutha Valley,Upper Clutha Valley,879,1257,1509,43,20,159.7952743,159.7952743,159794583,71442.53822
156,347101,Lake Hāwea,Lake Hawea,798,1200,2001,50.4,66.8,3.65558904,3.65558904,3655259.409,9016.577926
157,347000,Wānaka Central,Wanaka Central,876,1263,1467,44.2,16.2,7.56205413,7.56205413,7562126.959,12758.64893
158,346901,Albert Town,Albert Town,1287,2031,2292,57.8,12.9,3.88955717,3.88955717,3889425.511,11587.75186
159,346800,Wānaka West,Wanaka West,1323,1725,1941,30.4,12.5,4.43058378,4.43058378,4430460.358,11616.2352
160,346702,Northlake,Northlake,6,30,1110,400,3600,3.39533109,3.39533109,3395302.577,9919.197865
161,346701,Wānaka North,Wanaka North,1608,2382,3027,48.1,27.1,5.44191778,5.44191778,5441833.007,10931.51099
162,346600,Wānaka Waterfront,Wanaka Waterfront,1374,2121,2082,54.4,-1.8,3.89215168,3.89215168,3892276.828,12449.70055
163,346500,Inland water Lake Wakatipu,Inland water Lake Wakatipu,0,0,0,-998,-998,294.6232389,0,294623231.1,212010.9533
164,346400,Cardrona,Cardrona,507,633,795,24.9,25.6,857.8290269,857.8290269,857828138.9,202396.2786
165,346300,Inland water Lake Hāwea,Inland water Lake Hawea,0,0,0,-998,-998,157.0327078,0,157032626,117871.3108
166,346201,Outer Wakatipu,Outer Wakatipu,387,498,513,28.7,3,1862.921158,1862.921158,1862919297,303003.0224
167,346100,Inland water Lake Wānaka,Inland water Lake Wanaka,0,0,0,-998,-998,201.0371818,0,201037151.8,209485.0201
168,346000,Glenorchy,Glenorchy,363,450,522,24,16,1464.371566,1464.371566,1464371292,259049.8791
169,345900,Outer Wānaka,Outer Wanaka,378,399,435,5.6,9,3176.079412,3176.079412,3176081043,611200.3798
170,345800,Teviot Valley,Teviot Valley,1563,1779,1734,13.8,-2.5,1314.919171,1302.442454,1314919418,215854.8908
171,345700,Maniototo,Maniototo,1554,1635,1731,5.2,5.9,2370.966916,2370.966916,2370966945,296274.3598
172,345600,Alexandra South,Alexandra South,2358,2616,2676,10.9,2.3,5.15292848,5.15292848,5152712.61,13649.56909
173,345500,Alexandra North,Alexandra North,2445,2856,2910,16.8,1.9,4.60800747,4.60800747,4607816.803,12501.59777
174,345400,Clyde,Clyde,999,1161,1167,16.2,0.5,2.08072828,2.08072828,2080413.427,6821.543148
175,345300,Dunstan-Galloway,Dunstan-Galloway,1329,1695,1986,27.5,17.2,444.4647708,444.4647708,444464521.8,121017.8477
176,345200,Earnscleugh,Earnscleugh,609,699,807,14.8,15.5,394.2556014,391.8526291,394256011,104167.2045
177,345100,Manuherikia-Ida Valleys,Manuherikia-Ida Valleys,1020,1119,1278,9.7,14.2,2511.467574,2511.467574,2511469170,303948.7199
178,345000,Cromwell East,Cromwell East,2121,2562,3024,20.8,18,3.59556845,3.59556845,3595614.464,9744.194863
179,344900,Cromwell West,Cromwell West,2220,3048,3759,37.3,23.3,12.03206438,12.03206438,12032409.65,17994.75058
180,344800,Lindis-Nevis Valleys,Lindis-Nevis Valleys,1677,2391,3228,42.6,35,2904.754443,2884.606169,2904753875,406862.5137
181,344700,Palmerston,Palmerston,891,948,1056,6.4,11.4,8.75362043,8.75362043,8752812.141,13952.00785
182,344500,South Hill,South Hill,2199,2184,2247,-0.7,2.9,1.44829725,1.44829725,1448296.053,6765.195961
183,344400,Oamaru Central,Oamaru Central,273,294,279,7.7,-5.1,0.96438725,0.96438725,964498.4971,9018.578637
184,344300,Holmes Hill,Holmes Hill,1284,1332,1416,3.7,6.3,2.62025107,2.62025107,2620349.787,9487.129189
185,344200,Glen Warren,Glen Warren,1512,1632,1908,7.9,16.9,1.8009147,1.8009147,1801023.361,7101.040608
186,344100,Oamaru Gardens,Oamaru Gardens,1080,1176,1152,8.9,-2,1.48513744,1.48513744,1485144.986,6166.944442
187,344000,Oamaru North Orana Park,Oamaru North Orana Park,2661,2907,3018,9.2,3.8,2.76061588,2.76061588,2760505.142,7008.789465
188,343900,Oamaru North Milner Park,Oamaru North Milner Park,2313,2529,2475,9.3,-2.1,7.13509814,7.13509814,7135434.501,12398.37073
189,343801,Weston,Weston,951,1008,1188,6,17.9,1.99830288,1.99830288,1998451.817,10124.28246
190,343700,Maheno,Maheno,1818,1968,2052,8.3,4.3,262.4496829,262.4496829,262449628,129974.0807
191,343600,Waihemo,Waihemo,1320,1341,1458,1.6,8.7,1312.392998,1312.392998,1312393913,278596.6272
192,343501,Lower Waitaki,Lower Waitaki,1299,1434,1575,10.4,9.8,174.1822275,174.1822275,174181447.6,78627.24334
193,343400,Ngapara,Ngapara,1611,1806,1749,12.1,-3.2,1134.561656,1134.561656,1134560285,190946.6226
194,343300,Danseys Pass,Danseys Pass,915,987,993,7.9,0.6,711.4933378,711.4933378,711493274.6,150717.1833
195,343200,Inland water Lake Ōhau,Inland water Lake Ohau,0,0,0,-998,-998,59.58428134,0,59584297.12,45353.0532
196,343100,Aviemore,Aviemore,702,765,909,9,18.8,3532.895096,3483.896789,3532895571,426332.171
197,343000,Chatham Islands,Chatham Islands,600,663,612,10.5,-7.7,808.2665543,793.8760022,808269125.2,455844.5237
198,342800,Waimate East,Waimate East,1527,1614,1689,5.7,4.6,2.60475025,2.60475025,2604727.678,9447.337004
199,342700,Waimate West,Waimate West,1254,1335,1320,6.5,-1.1,0.93730846,0.93730846,937234.0562,5659.946583
200,342600,Morven-Glenavy-Ikawai,Morven-Glenavy-Ikawai,1131,1095,1221,-3.2,11.5,386.3163246,386.3163246,386317955.7,102585.4756
201,342500,Waimate North,Waimate North,504,507,582,0.6,14.8,4.46603586,4.46603586,4465776.015,14126.08856
202,342400,Mākikihi-Willowbridge,Makikihi-Willowbridge,993,1008,1047,1.5,3.9,295.0338698,295.0338698,295034569.1,108520.9383
203,342300,Lyalldale,Lyalldale,636,687,666,8,-3.1,109.5397092,109.5397092,109540401.4,49327.12949
204,342200,Maungati,Maungati,732,738,723,0.8,-2,695.9454837,695.9454837,695944323.8,159197.4338
205,342100,Hakataramea,Hakataramea,756,831,870,9.9,4.7,2088.218255,2059.602968,2088217297,252285.7965
206,342000,Fairlie,Fairlie,861,885,918,2.8,3.7,4.95329511,4.95329511,4952937.129,14093.05602
207,341900,Opua (Mackenzie District),Opua (Mackenzie District),1263,1347,1398,6.7,3.8,1978.382033,1978.382033,1978381788,325067.722
208,341801,Twizel,Twizel,1194,1515,1674,26.9,10.5,17.56874116,15.54196485,17568385.14,28926.15841
209,341700,Inland water Lake Tekapo,Inland water Lake Tekapo,0,0,0,-998,-998,93.97497411,0,93975475.19,74336.66606
210,341600,Inland water Lake Pukaki,Inland water Lake Pukaki,0,0,0,-998,-998,172.8243659,0,172824056.2,86545.97676
211,341501,Mackenzie Lakes,Mackenzie Lakes,837,1119,1131,33.7,1.1,5174.668846,5139.71326,5174670127,553153.5703
212,341400,Kensington (Timaru District),Kensington (Timaru District),1416,1464,1506,3.4,2.9,0.72551225,0.72551225,725356.3101,4269.234611
213,341300,Parkside,Parkside,2358,2376,2433,0.8,2.4,1.14715856,1.14715856,1147061.672,4819.94456
214,341201,Timaru East,Timaru East,258,273,270,5.8,-1.1,3.70399746,3.70399746,3704425.476,22198.87064
215,341101,Timaru Central,Timaru Central,366,345,285,-5.7,-17.4,0.80811291,0.80811291,808147.835,4231.877586
216,341000,Watlington,Watlington,2298,2253,2256,-2,0.1,1.20719932,1.20719932,1207123.845,5420.770962
217,340801,Seaview,Seaview,2091,2145,2115,2.6,-1.4,0.75085847,0.75085847,750882.5981,3826.446523
218,340700,Fraser Park,Fraser Park,2685,2751,2835,2.5,3.1,1.21557097,1.21557097,1215558.801,4933.496505
219,340601,Waimataitai-Maori Hill,Waimataitai-Maori Hill,1902,2043,2082,7.4,1.9,1.38994462,1.38994462,1389889.809,6747.841783
220,340500,Highfield South,Highfield South,1197,1251,1263,4.5,1,0.95030445,0.95030445,950555.9365,4671.088466
221,340400,Highfield North,Highfield North,2223,2358,2376,6.1,0.8,1.41108191,1.41108191,1411146.572,6029.160171
222,340300,Marchwiel East,Marchwiel East,1791,1980,2007,10.6,1.4,0.93101142,0.93101142,931048.3213,4221.114089
223,340200,Marchwiel West,Marchwiel West,1476,1527,1563,3.5,2.4,0.84049485,0.84049485,840416.605,4759.109136
224,340100,Glenwood,Glenwood,1755,1788,1884,1.9,5.4,1.08721699,1.08721699,1087447.479,5692.37382
